PRIMARY ID,BREED,COLOR OF DOG,,,,,,,,
47072145,Labrador,None,,,,,,,,
47072138,Mixed,None,,,,,,,,
47072136,Terrier,None,,,,,,,,
47072135,Cattle,None,,,,,,,,
47072133,Australian,None,,,,,,,,
47072108,Australian,None,,,,,,,,
47072129,Pit,None,,,,,,,,
47072128,Pit,None,,,,,,,,
47072126,Pit,None,,,,,,,,
47072127,Retriever,None,,,,,,,,
47072121,Chihuahua,None,,,,,,,,
47072123,Cattle,None,,,,,,,,
47072122,Terrier,None,,,,,,,,
47072119,Mixed,None,,,,,,,,
47072120,Mixed,None,,,,,,,,
47072118,Australian,None,,,,,,,,
47072013,Pug,None,,,,,,,,
47072103,Mountain,Black,,,,,,,,
47072061,American,Brown,,,,,,,,
47072105,Catahoula,Merle,,,,,,,,
47072099,Labrador,None,,,,,,,,
47072057,Poodle,Gray,,,,,,,,
47072041,Australian,Merle,,,,,,,,
47072102,Mixed,None,,,,,,,,
47072090,Australian,Merle,,,,,,,,
47072080,Mixed,Brown,,,,,,,,
47072098,Labrador,None,,,,,,,,
47072096,Pit,None,,,,,,,,
47072097,Pit,None,,,,,,,,
47072088,Catahoula,None,,,,,,,,
47072047,German,None,,,,,,,,
47072094,Australian,None,,,,,,,,
47072076,Great,Harlequin,,,,,,,,
47070527,Catahoula,Harlequin,,,,,,,,
47072082,Terrier,None,,,,,,,,
47072081,German,None,,,,,,,,
47072077,Labrador,None,,,,,,,,
47072075,Chihuahua,None,,,,,,,,
47072060,Pit,None,,,,,,,,
47072054,Pit,Black,,,,,,,,
47072070,Poodle,None,,,,,,,,
47071990,Dachshund,None,,,,,,,,
47072069,Australian,None,,,,,,,,
47072068,Chihuahua,None,,,,,,,,
47071781,Feist,Black,,,,,,,,
47072063,Hound,None,,,,,,,,
47072048,Pit,None,,,,,,,,
47072051,Australian,None,,,,,,,,
47072050,Labrador,None,,,,,,,,
47072043,Saint,Tricolor,,,,,,,,
47072040,Rat,None,,,,,,,,
47072026,German,None,,,,,,,,
47072037,German,None,,,,,,,,
47072029,Great,White,,,,,,,,
47072034,Mastiff,None,,,,,,,,
47072032,Pit,None,,,,,,,,
47072031,German,None,,,,,,,,
47072027,Poodle,None,,,,,,,,
47072015,Mixed,Brown,,,,,,,,
47072030,Siberian,None,,,,,,,,
47072012,German,Black,,,,,,,,
47072028,Labrador,None,,,,,,,,
47071981,Chihuahua,White,,,,,,,,
47072010,German,None,,,,,,,,
47072021,Golden,None,,,,,,,,
47072020,Yorkshire,None,,,,,,,,
47072022,Labrador,None,,,,,,,,
47072023,Rottweiler,None,,,,,,,,
47072017,Coonhound,None,,,,,,,,
47072019,Schnauzer,None,,,,,,,,
47072018,Yorkshire,None,,,,,,,,
47071998,German,None,,,,,,,,
47071997,Terrier,Bicolor,,,,,,,,
47072004,Poodle,None,,,,,,,,
47072000,Pomeranian,None,,,,,,,,
47071976,German,Black,,,,,,,,
47071969,Spaniel,None,,,,,,,,
47071989,Chihuahua,None,,,,,,,,
47071928,Pit,Brindle,,,,,,,,
47071982,Siberian,None,,,,,,,,
47071983,Shepherd,None,,,,,,,,
47071984,Dachshund,None,,,,,,,,
47071985,Siberian,None,,,,,,,,
47071980,Labrador,None,,,,,,,,
47071979,Labrador,None,,,,,,,,
47071978,Labrador,None,,,,,,,,
47071962,Border,Black,,,,,,,,
47071517,Pomeranian,Red,,,,,,,,
47071776,Shepherd,White,,,,,,,,
47071966,German,Black,,,,,,,,
47071954,Labrador,None,,,,,,,,
47071963,Border,Tricolor,,,,,,,,
47071762,Pit,None,,,,,,,,
47071921,Terrier,None,,,,,,,,
47071780,Mixed,Apricot,,,,,,,,
47071958,Mastiff,None,,,,,,,,
47071961,Australian,None,,,,,,,,
47071953,Dachshund,None,,,,,,,,
47071952,Newfoundland,None,,,,,,,,
47071951,Boxer,None,,,,,,,,
47071931,Rottweiler,None,,,,,,,,
47071943,Labrador,None,,,,,,,,
47071929,Chiweenie,Tricolor,,,,,,,,
47071944,Beagle,None,,,,,,,,
47071901,Labrador,None,,,,,,,,
47071932,Dachshund,None,,,,,,,,
47071755,Pit,None,,,,,,,,
47071904,Pit,None,,,,,,,,
47071927,Shepherd,None,,,,,,,,
47071913,Scottish,None,,,,,,,,
47071900,Beagle,Black,,,,,,,,
47071784,German,Red,,,,,,,,
47071773,Cane,Golden,,,,,,,,
47071562,Pit,Yellow,,,,,,,,
47071782,Scottish,None,,,,,,,,
47071899,Labrador,Yellow,,,,,,,,
